# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6830418 1 ./Virtual_env/lib/python3.8/site-packages/setuptools-44.0.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6947020 1 ./Virtual_env/lib/python3.8/site-packages/pkg_resources-0.0.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6830634 1 ./Virtual_env/lib/python3.8/site-packages/pip-20.0.2.dist-info/top_level.txt
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6951039 1 ./Virtual_env/lib/python3.8/site-packages/python_dateutil-2.8.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6830636 1 ./Virtual_env/lib/python3.8/site-packages/pip-20.0.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954040 1 ./Virtual_env/lib/python3.8/site-packages/outcome-1.1.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6830649 1 ./Virtual_env/lib/python3.8/site-packages/soupsieve-2.3.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954075 1 ./Virtual_env/lib/python3.8/site-packages/idna-3.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954417 1 ./Virtual_env/lib/python3.8/site-packages/trio_websocket-0.9.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6830407 1 ./Virtual_env/lib/python3.8/site-packages/imageio_ffmpeg-0.4.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954081 1 ./Virtual_env/lib/python3.8/site-packages/async_generator-1.10.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6946982 1 ./Virtual_env/lib/python3.8/site-packages/beautifulsoup4-4.10.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954014 1 ./Virtual_env/lib/python3.8/site-packages/attrs-21.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954393 1 ./Virtual_env/lib/python3.8/site-packages/moviepy-1.0.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6955169 1 ./Virtual_env/lib/python3.8/site-packages/parso-0.8.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954730 1 ./Virtual_env/lib/python3.8/site-packages/cryptography-36.0.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954701 1 ./Virtual_env/lib/python3.8/site-packages/prompt_toolkit-3.0.29.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954693 1 ./Virtual_env/lib/python3.8/site-packages/wcwidth-0.2.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954685 1 ./Virtual_env/lib/python3.8/site-packages/pickleshare-0.7.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954677 1 ./Virtual_env/lib/python3.8/site-packages/lxml-4.7.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954669 1 ./Virtual_env/lib/python3.8/site-packages/cffi-1.15.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954402 1 ./Virtual_env/lib/python3.8/site-packages/trio-0.19.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954431 1 ./Virtual_env/lib/python3.8/site-packages/pycparser-2.21.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6954424 1 ./Virtual_env/lib/python3.8/site-packages/certifi-2021.10.8.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -11158 5 4 66306 6948986 1 ./Virtual_env/lib/python3.8/site-packages/numpy-1.21.4.dist-info/INSTALLER
DUPTYPE_FIRST_OCCURRENCE 22203 10 12 66306 6955413 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/stdlib/2/distutils/debug.pyi
DUPTYPE_WITHIN_SAME_TREE -22203 10 12 66306 6955700 1 ./Virtual_env/lib/python3.8/site-packages/jedi/third_party/typeshed/stdlib/3/distutils/debug.pyi
